recipe_name,diet,condition,ingredients,calories,steps,time
Besan Chilla,veg,diabetes,gram flour spinach onion,170,1. Mix 1 cup gram flour with water to make batter. 2. Chop 1 cup spinach and 1 onion. 3. Add to batter along with spices. 4. Heat a non-stick pan. 5. Pour batter and spread thinly. 6. Cook until edges are golden. 7. Flip and cook the other side. 8. Serve with chutney.,20
Bhindi Do Pyaza,veg,diabetes,okra onion spices,230,1. Cook bhindi. 2. Add onions. 3. Simmer. 4. Serve. 5. North Indian. 6. Dry. 7. Side. 8. Tasty.,25
Bhindi Masala,veg,diabetes,okra onion spices,220,1. Wash bhindi. 2. Heat oil. 3. Add spices. 4. Add bhindi. 5. Cook. 6. Stir. 7. Serve. 8. Dry.,25
Bitter Gourd Stir Fry,veg,diabetes,bitter gourd onion spices,110,1. Slice gourd. 2. Chop onion. 3. Heat oil. 4. Sauté onion. 5. Add gourd. 6. Add spices. 7. Cook until tender. 8. Serve.,20
Broccoli Stir Fry,veg,diabetes,broccoli garlic oil,120,1. Cut broccoli. 2. Chop garlic. 3. Heat oil. 4. Add garlic. 5. Add broccoli. 6. Stir fry. 7. Season. 8. Serve.,15
Cabbage Sabzi,veg,diabetes,cabbage spices,150,1. Chop cabbage. 2. Heat oil. 3. Add spices. 4. Add cabbage. 5. Cook. 6. Serve. 7. Light. 8. Healthy.,20
Cauliflower Rice,veg,diabetes,cauliflower spices,90,1. Grate cauliflower. 2. Heat oil. 3. Add spices. 4. Add cauliflower. 5. Stir fry. 6. Cook for 5 minutes. 7. Season. 8. Serve.,15
Chana Masala,veg,diabetes,chickpeas onion tomato spices,280,"1. Soak 1 cup chana overnight. 2. Pressure cook chana for 20 minutes. 3. Heat 2 tablespoons oil. 4. Add 1 chopped onion and sauté. 5. Add 2 chopped tomatoes and cook. 6. Add spices like cumin, coriander, chili. 7. Add cooked chana and simmer. 8. Garnish with coriander.",45
Chicken Breast Salad,non-veg,diabetes,chicken breast lettuce cucumber,180,1. Grill chicken. 2. Slice. 3. Chop veggies. 4. Mix. 5. Dress. 6. Toss. 7. Chill. 8. Serve.,30
Chicken Korma,non-veg,diabetes,chicken yogurt spices,390,1. Marinate chicken. 2. Heat oil. 3. Add spices. 4. Add chicken. 5. Add yogurt. 6. Cook. 7. Serve. 8. Mild.,45
Chicken Masala,non-veg,diabetes,chicken tomato spices,350,1. Clean chicken. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add chicken. 6. Cook. 7. Serve. 8. With rice.,40
Chicken Soup,non-veg,diabetes,chicken carrot celery,150,1. Boil chicken. 2. Chop veggies. 3. Add to pot. 4. Simmer. 5. Shred chicken. 6. Season. 7. Serve. 8. Hot.,40
Cucumber Raita,veg,diabetes,cucumber yogurt spices,100,1. Grate cucumber. 2. Mix yogurt. 3. Add spices. 4. Chill. 5. Serve. 6. Cool. 7. Accompaniment. 8. Refreshing.,10
Dal Khichdi,veg,diabetes,rice dal turmeric cumin,180,"1. Rinse 1/2 cup rice and 1/4 cup dal together. 2. In a pot, heat 1 teaspoon ghee or oil. 3. Add 1/2 teaspoon cumin seeds and let them splutter. 4. Add the rinsed rice and dal mixture. 5. Add 1/4 teaspoon turmeric powder and mix well. 6. Pour in 3 cups of water and bring to a boil. 7. Reduce heat and simmer for 20-25 minutes until soft. 8. Stir occasionally, season, and serve warm.",35
Dhokla,veg,diabetes,rice dal yogurt,150,"1. Soak rice and dal for 4 hours, grind to batter. 2. Ferment overnight with yogurt. 3. Add spices and steam in molds. 4. Cook for 15 minutes. 5. Let cool and cut into pieces. 6. Temper with mustard seeds. 7. Garnish with coriander. 8. Serve with chutney.",30
Egg Biryani,non-veg,diabetes,egg rice spices,320,1. Boil 4 eggs. 2. Cook 2 cups rice. 3. Fry onions. 4. Layer eggs and rice. 5. Add spices. 6. Cook. 7. Serve. 8. With raita.,45
Egg Curry,non-veg,diabetes,egg spices,250,1. Boil eggs. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add eggs. 6. Cook. 7. Serve. 8. With rice.,30
Egg Masala,non-veg,diabetes,egg spices,240,1. Boil eggs. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add eggs. 6. Cook. 7. Serve. 8. With rice.,25
Egg White Omelette,non-veg,diabetes,egg white spinach,140,1. Beat egg whites. 2. Chop spinach. 3. Heat pan. 4. Pour eggs. 5. Add spinach. 6. Cook. 7. Fold. 8. Serve.,10
Eggplant Curry,veg,diabetes,eggplant tomato spices,150,1. Cut eggplant. 2. Chop tomato. 3. Heat oil. 4. Sauté spices. 5. Add veggies. 6. Cook. 7. Simmer. 8. Serve.,25
Fish Amritsari,non-veg,diabetes,fish spices,320,1. Marinate fish. 2. Fry. 3. Serve. 4. Crispy. 5. Punjabi. 6. Famous. 7. Street food. 8. Spicy.,30
Grilled Fish,non-veg,diabetes,fish lemon herbs,160,1. Marinate fish. 2. Preheat grill. 3. Grill. 4. Turn. 5. Cook through. 6. Rest. 7. Serve. 8. With lemon.,25
Gulab Jamun,veg,diabetes,milk powder sugar,350,1. Make dough. 2. Shape. 3. Fry. 4. Soak in syrup. 5. Serve. 6. Sweet. 7. Festive. 8. Dessert.,45
Idiyappam,veg,diabetes,rice,160,1. Make dough. 2. Press. 3. Steam. 4. Serve. 5. String. 6. Breakfast. 7. Kerala. 8. Light.,25
Kachori,veg,diabetes,flour dal spices,350,1. Make dough. 2. Fill with dal. 3. Fry. 4. Serve. 5. With chutney. 6. Flaky. 7. Snack. 8. Rajasthani.,35
Kheer,veg,diabetes,rice milk nuts,160,1. Rinse 1/2 cup rice and cook in milk. 2. Stir until thick. 3. Add cardamom and nuts. 4. Sweeten with jaggery if allowed. 5. Cook on low heat. 6. Let cool. 7. Garnish with saffron. 8. Serve chilled.,40
Kolkata Biryani,non-veg,diabetes,chicken potato spices,430,1. Marinate chicken. 2. Cook rice. 3. Add potato. 4. Dum. 5. Serve. 6. Potato. 7. Bengali. 8. Unique.,55
Lamb Curry,non-veg,diabetes,lamb coconut spices,410,1. Clean lamb. 2. Heat oil. 3. Add spices. 4. Add lamb. 5. Add coconut. 6. Cook. 7. Simmer. 8. Serve.,55
Makhanwala,veg,diabetes,paneer cream spices,360,1. Cook paneer. 2. Add cream. 3. Simmer. 4. Serve. 5. Rich. 6. Mughlai. 7. Festive. 8. Creamy.,35
Mixed Vegetable Curry,veg,diabetes,vegetables spices,240,1. Chop veggies. 2. Heat oil. 3. Add spices. 4. Add veggies. 5. Cook. 6. Serve. 7. Balanced. 8. Nutritious.,35
Mushroom Soup,veg,diabetes,mushroom onion herbs,110,1. Chop mushrooms. 2. Sauté onion. 3. Add mushrooms. 4. Add water. 5. Simmer. 6. Blend. 7. Season. 8. Serve.,25
Mutton Stew,non-veg,diabetes,mutton vegetables,280,1. Cook mutton. 2. Add veggies. 3. Simmer. 4. Serve. 5. Light. 6. Kerala. 7. Comfort. 8. Hearty.,45
Mutton Vindaloo,non-veg,diabetes,mutton vinegar spices,430,1. Marinate mutton. 2. Heat oil. 3. Add spices. 4. Add mutton. 5. Cook. 6. Simmer. 7. Serve. 8. Spicy.,55
Oats Idli,veg,diabetes,oats curd carrot,160,1. Grind 1 cup oats into flour. 2. Mix with 1/2 cup curd to make batter. 3. Grate 1 carrot and add to batter. 4. Add water to achieve idli batter consistency. 5. Grease idli molds and pour batter. 6. Steam for 10-12 minutes. 7. Let cool and demold. 8. Serve with chutney.,25
Oats Porridge,veg,diabetes,oats milk nuts,140,"1. Rinse 1/2 cup of oats under cold water. 2. In a saucepan, bring 1 cup of milk to a boil over medium heat. 3. Add the rinsed oats to the boiling milk and stir well. 4. Reduce the heat to low and simmer for 5-7 minutes, stirring occasionally. 5. Chop a handful of nuts (like almonds or walnuts) and add them to the porridge. 6. Continue cooking for another 2-3 minutes until the oats are soft and creamy. 7. Remove from heat and let it cool slightly. 8. Serve warm, optionally sweetened with a natural sweetener if allowed.",15
Palak Paneer,veg,diabetes,spinach paneer spices,260,"1. Boil 2 cups spinach. 2. Blend into paste. 3. Heat 1 tablespoon oil. 4. Add paneer cubes and fry. 5. Add spinach paste. 6. Add spices like cumin, garam masala. 7. Cook for 5 minutes. 8. Serve with roti.",35
Paneer Chilli,veg,diabetes,paneer capsicum spices,310,1. Cut paneer. 2. Fry. 3. Add capsicum. 4. Add spices. 5. Cook. 6. Serve. 7. Hot. 8. Enjoy.,30
Quinoa Salad,veg,diabetes,quinoa cucumber tomato,130,1. Rinse quinoa. 2. Cook in water. 3. Chop veggies. 4. Mix with quinoa. 5. Add lemon. 6. Season. 7. Toss. 8. Serve.,25
Rajma,veg,diabetes,kidney beans onion tomato spices,300,"1. Soak 1 cup rajma overnight. 2. Pressure cook with water for 20 minutes. 3. Heat 2 tablespoons oil. 4. Add 1 chopped onion and sauté. 5. Add 2 chopped tomatoes and cook. 6. Add spices like cumin, turmeric, chili. 7. Add cooked rajma and simmer for 10 minutes. 8. Serve with rice.",50
Rajma Curry,veg,diabetes,kidney beans spices,280,1. Soak rajma. 2. Cook. 3. Heat oil. 4. Add onion. 5. Add spices. 6. Add rajma. 7. Simmer. 8. Serve.,50
Ras Malai,veg,diabetes,cheese milk sugar,140,1. Make cheese from milk. 2. Knead and shape into balls. 3. Boil in sugar syrup. 4. Cook until soft. 5. Cool in syrup. 6. Squeeze gently. 7. Serve in bowls. 8. Garnish with pistachios.,60
Shrimp Salad,non-veg,diabetes,shrimp lettuce tomato,170,1. Boil shrimp. 2. Peel. 3. Chop veggies. 4. Mix. 5. Dress. 6. Toss. 7. Chill. 8. Serve.,20
Spinach Soup,veg,diabetes,spinach onion garlic,100,1. Wash spinach. 2. Chop onion and garlic. 3. Boil water. 4. Add veggies. 5. Simmer. 6. Blend. 7. Season. 8. Serve.,20
Turkey Stir Fry,non-veg,diabetes,turkey broccoli garlic,190,1. Cut turkey. 2. Chop veggies. 3. Heat oil. 4. Stir fry turkey. 5. Add veggies. 6. Cook. 7. Season. 8. Serve.,20
Vada,veg,diabetes,urad dal spices,250,1. Soak dal. 2. Grind. 3. Shape. 4. Fry. 5. Serve. 6. With chutney. 7. Crispy. 8. Snack.,25
Vegetable Biryani,veg,diabetes,rice vegetables spices,320,1. Cook rice. 2. Sauté vegetables. 3. Add spices. 4. Layer. 5. Cook. 6. Dum. 7. Serve.,50
Vegetable Jalfrezi,veg,diabetes,vegetables spices,260,1. Chop veggies. 2. Heat oil. 3. Add spices. 4. Add veggies. 5. Cook. 6. Serve. 7. Stir-fry. 8. Healthy.,25
Vegetable Korma,veg,diabetes,vegetables coconut spices,290,1. Chop veggies. 2. Heat oil. 3. Add spices. 4. Add veggies. 5. Add coconut. 6. Cook. 7. Serve. 8. Creamy.,40
Vegetable Pulao,veg,diabetes,rice vegetables spices,300,1. Cook rice. 2. Sauté veggies. 3. Add spices. 4. Mix. 5. Cook. 6. Serve. 7. Fragrant. 8. Light.,35
Zucchini Noodles,veg,diabetes,zucchini tomato sauce,140,1. Spiralize zucchini. 2. Heat sauce. 3. Cook zucchini. 4. Mix. 5. Simmer. 6. Season. 7. Serve. 8. Garnish.,20
Baingan Bharta,veg,bp,eggplant onion spices,230,"1. Roast 1 eggplant over flame. 2. Peel and mash. 3. Heat 2 tablespoons oil. 4. Add 1 chopped onion. 5. Add spices like cumin, chili. 6. Add mashed eggplant. 7. Cook for 10 minutes. 8. Serve with roti.",35
Berry Smoothie,veg,bp,berries yogurt milk,100,1. Wash berries. 2. Blend. 3. Add yogurt. 4. Add milk. 5. Blend again. 6. Pour. 7. Serve. 8. Cold.,10
Bhindi Masala,veg,bp,okra onion spices,200,"1. Wash and chop 250g bhindi. 2. Heat 2 tablespoons oil. 3. Add bhindi and sauté. 4. Add 1 chopped onion. 5. Add spices like cumin, coriander. 6. Cook until bhindi is tender. 7. Stir occasionally. 8. Serve with roti.",30
Brown Rice Bowl,veg,bp,brown rice spinach beans,160,1. Cook rice. 2. Steam spinach. 3. Drain beans. 4. Mix. 5. Season. 6. Serve. 7. Warm. 8. Nutritious.,30
Chana Dal,veg,bp,chana dal spices,220,1. Rinse dal. 2. Cook. 3. Heat ghee. 4. Add spices. 5. Add dal. 6. Simmer. 7. Serve. 8. Comfort.,35
Chicken Breast Grill,non-veg,bp,chicken breast spices,190,1. Marinate chicken. 2. Preheat grill. 3. Grill. 4. Turn. 5. Cook. 6. Rest. 7. Serve. 8. Sliced.,35
Chicken Fry,non-veg,bp,chicken spices,340,1. Marinate chicken. 2. Heat oil. 3. Fry. 4. Drain. 5. Serve. 6. Crispy. 7. Spicy. 8. Andhra.,25
Chicken Korma,non-veg,bp,chicken yogurt spices,380,1. Marinate 500g chicken in yogurt. 2. Heat 2 tablespoons oil. 3. Add 1 chopped onion. 4. Add spices. 5. Add chicken. 6. Add yogurt. 7. Cook for 20 minutes. 8. Serve.,45
Chili Chicken,non-veg,bp,chicken capsicum spices,350,1. Marinate chicken. 2. Heat oil. 3. Fry chicken. 4. Add capsicum. 5. Add spices. 6. Cook. 7. Serve. 8. Indo-Chinese.,30
Dal Tadka,veg,bp,toor dal spices,250,1. Cook dal. 2. Heat ghee. 3. Add spices. 4. Add dal. 5. Boil. 6. Serve. 7. With rice. 8. Classic.,35
Fish Biryani,non-veg,bp,fish rice spices,380,1. Marinate fish. 2. Cook rice. 3. Fry onions. 4. Layer. 5. Dum. 6. Serve. 7. Seafood. 8. Aromatic.,50
Fish Curry,non-veg,bp,fish coconut spices,300,1. Clean fish. 2. Grind paste. 3. Heat oil. 4. Add paste. 5. Add fish. 6. Cook. 7. Serve. 8. With rice.,35
Grilled Salmon,non-veg,bp,salmon lemon herbs,200,1. Season salmon. 2. Preheat grill. 3. Grill. 4. Turn. 5. Cook. 6. Rest. 7. Serve. 8. With lemon.,25
Heart-Healthy Oatmeal,veg,bp,oats banana almonds,140,1. Boil oats. 2. Slice banana. 3. Chop almonds. 4. Top oats. 5. Mix. 6. Serve. 7. Warm. 8. Healthy.,15
Khakra,veg,bp,flour spices,200,1. Make dough. 2. Roll thin. 3. Bake. 4. Serve. 5. Crispy. 6. Snack. 7. Gujarati. 8. Healthy.,20
Ladoo,veg,bp,flour ghee sugar,320,1. Roast flour. 2. Add ghee. 3. Add sugar. 4. Shape. 5. Serve. 6. Sweet. 7. Traditional. 8. Snack.,25
Lamb Curry,non-veg,bp,lamb spices,390,1. Clean lamb. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add lamb. 6. Cook. 7. Simmer. 8. Serve.,55
Lamb Masala,non-veg,bp,lamb spices,400,1. Clean lamb. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add lamb. 6. Cook. 7. Simmer. 8. Serve.,55
Lamb Vindaloo,non-veg,bp,lamb vinegar spices,400,1. Marinate lamb. 2. Heat oil. 3. Add spices. 4. Add lamb. 5. Cook. 6. Simmer. 7. Serve. 8. Spicy.,50
Lauki Chana,veg,bp,bottle gourd chickpeas,210,1. Cook lauki. 2. Add chana. 3. Simmer. 4. Serve. 5. North Indian. 6. Light. 7. Healthy. 8. Protein.,35
Lean Turkey Stir Fry,non-veg,bp,turkey broccoli garlic,180,1. Cut turkey. 2. Chop veggies. 3. Heat oil. 4. Stir fry turkey. 5. Add broccoli. 6. Cook. 7. Season. 8. Serve.,20
Low-Sodium Vegetable Stir Fry,veg,bp,broccoli carrot bell pepper garlic,120,1. Chop veggies. 2. Heat oil. 3. Add garlic. 4. Stir fry veggies. 5. Cook. 6. Season lightly. 7. Serve. 8. Hot.,15
Methi Aloo,veg,bp,fenugreek potato spices,210,1. Chop methi. 2. Heat oil. 3. Add spices. 4. Add veggies. 5. Cook. 6. Serve. 7. Bitter. 8. Healthy.,25
Mutton Curry,non-veg,bp,mutton onion spices,380,1. Clean and cut 500g mutton. 2. Pressure cook mutton with water for 15 minutes. 3. Heat 2 tablespoons oil. 4. Add 2 chopped onions and sauté. 5. Add ginger-garlic paste and spices. 6. Add cooked mutton and stir. 7. Add water and simmer for 20 minutes. 8. Serve with roti.,55
Namak Pare,veg,bp,flour spices,260,1. Make dough. 2. Cut. 3. Fry. 4. Serve. 5. Salty. 6. Snack. 7. Punjabi. 8. Tea time.,20
Paneer Butter Masala,veg,bp,paneer tomato cream spices,380,1. Heat butter. 2. Add onion. 3. Add tomatoes. 4. Add spices. 5. Add paneer. 6. Add cream. 7. Cook. 8. Serve.,40
Paneer Masala,veg,bp,paneer spices,340,1. Heat oil. 2. Add onion. 3. Add spices. 4. Add paneer. 5. Cook. 6. Add cream. 7. Serve. 8. Hot.,30
Paneer Pasanda,veg,bp,paneer cream spices,360,1. Stuff paneer. 2. Heat oil. 3. Add spices. 4. Add paneer. 5. Add cream. 6. Cook. 7. Serve. 8. Mughlai.,40
Paneer Tikka Masala,veg,bp,paneer tomato spices,360,1. Grill paneer. 2. Heat oil. 3. Add onion. 4. Add tomatoes. 5. Add spices. 6. Add paneer. 7. Cook. 8. Serve.,45
Poha,veg,bp,flattened rice spices,220,1. Rinse poha. 2. Heat oil. 3. Add spices. 4. Add poha. 5. Cook. 6. Serve. 7. Light. 8. Maharashtrian.,15
Pork Vindaloo,non-veg,bp,pork vinegar spices,410,1. Marinate pork. 2. Heat oil. 3. Add spices. 4. Add pork. 5. Cook. 6. Simmer. 7. Serve. 8. Goan.,50
Prawn Curry,non-veg,bp,prawns spices,330,1. Clean prawns. 2. Heat oil. 3. Add spices. 4. Add prawns. 5. Cook. 6. Serve. 7. Kerala style. 8. Coconut.,30
Quinoa Salad,veg,bp,quinoa cucumber tomato,130,1. Cook quinoa. 2. Chop veggies. 3. Mix. 4. Dress. 5. Toss. 6. Chill. 7. Serve. 8. Fresh.,25
Rajma,veg,bp,kidney beans spices,320,1. Soak rajma. 2. Cook. 3. Add spices. 4. Simmer. 5. Serve. 6. Punjabi. 7. Comfort. 8. Protein.,45
Rajma Chawal,veg,bp,kidney beans rice spices,380,1. Soak rajma. 2. Cook. 3. Heat oil. 4. Add spices. 5. Add rajma. 6. Simmer. 7. Serve with rice. 8. Comforting.,45
Rajma Masala,veg,bp,kidney beans spices,320,1. Soak rajma. 2. Cook. 3. Heat oil. 4. Add spices. 5. Add rajma. 6. Simmer. 7. Serve. 8. Punjabi.,45
Shahi Paneer,veg,bp,paneer cream spices,370,1. Cook paneer. 2. Add cream. 3. Simmer. 4. Serve. 5. Royal. 6. Mughlai. 7. Festive. 8. Creamy.,35
Sweet Potato Soup,veg,bp,sweet potato onion herbs,110,1. Chop veggies. 2. Boil. 3. Blend. 4. Season. 5. Simmer. 6. Serve. 7. Hot. 8. Creamy.,30
Thalassery Biryani,non-veg,bp,mutton rice spices,440,1. Marinate mutton. 2. Cook rice. 3. Layer. 4. Dum. 5. Serve. 6. Aromatic. 7. Malabar. 8. Royal.,55
Vegetable Khichdi,veg,bp,rice dal vegetables spices,250,1. Rinse rice and dal. 2. Cook. 3. Add vegetables. 4. Cook. 5. Heat ghee. 6. Add spices. 7. Serve. 8. Hot.,40
Aloo Paratha,veg,fever,potato flour spices,300,1. Make dough. 2. Make filling. 3. Stuff. 4. Roll. 5. Cook. 6. Serve. 7. With yogurt. 8. Punjabi.,30
Baingan Masala,veg,fever,eggplant spices,220,1. Cook eggplant. 2. Add spices. 3. Simmer. 4. Serve. 5. North Indian. 6. Tangy. 7. Side. 8. Comfort.,30
Carrot Ginger Soup,veg,fever,carrot ginger onion,95,1. Chop veggies. 2. Sauté onion. 3. Add carrots. 4. Add ginger. 5. Boil. 6. Blend. 7. Season. 8. Serve.,30
Chicken Broth,non-veg,fever,chicken bones carrot onion,110,1. Boil bones. 2. Chop veggies. 3. Add to pot. 4. Simmer. 5. Strain. 6. Season. 7. Serve. 8. Hot.,60
Chicken Soup,non-veg,fever,chicken carrot onion pepper,150,"1. Clean and cut 100g chicken into small pieces. 2. Chop 1 carrot and 1 onion finely. 3. In a pot, add chicken, carrots, onion, and 4 cups water. 4. Bring to a boil over medium heat. 5. Add a pinch of black pepper and reduce heat to simmer. 6. Cook for 20-25 minutes until chicken is tender. 7. Remove chicken bones if any, and shred the meat. 8. Season the soup and serve hot.",35
Chicken Tikka Masala,non-veg,fever,chicken tomato cream spices,380,1. Marinate chicken. 2. Grill. 3. Heat oil. 4. Add spices. 5. Add chicken. 6. Add cream. 7. Cook. 8. Serve.,40
Chicken Vindaloo,non-veg,fever,chicken vinegar spices,390,1. Marinate chicken. 2. Heat oil. 3. Add spices. 4. Add chicken. 5. Cook. 6. Serve. 7. Spicy. 8. Goan.,40
Coconut Water,veg,fever,coconut water lime,70,1. Extract water. 2. Add lime. 3. Chill. 4. Serve. 5. Fresh. 6. Hydrating. 7. Simple. 8. Enjoy.,5
Dhokla,veg,fever,rice dal yogurt,160,1. Soak rice and dal. 2. Grind. 3. Ferment. 4. Steam. 5. Temper. 6. Serve. 7. Steamed. 8. Gujarati.,25
Drumstick Curry,veg,fever,drumstick coconut spices,230,1. Clean drumstick. 2. Heat oil. 3. Add spices. 4. Add drumstick. 5. Add coconut. 6. Cook. 7. Serve. 8. South Indian.,35
Duck Soup,non-veg,fever,duck onion spices,135,1. Boil duck. 2. Chop onion. 3. Add spices. 4. Simmer. 5. Strain. 6. Season. 7. Serve. 8. Hot.,80
Dum Aloo,veg,fever,potato spices,280,1. Boil potato. 2. Fry. 3. Cook with spices. 4. Serve. 5. Kashmiri. 6. Rich. 7. Side. 8. Festive.,35
Egg Bhurji,non-veg,fever,egg onion spices,220,1. Beat eggs. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add eggs. 6. Scramble. 7. Serve. 8. Quick.,15
Egg Curry,non-veg,fever,egg tomato spices,280,1. Boil eggs. 2. Heat oil. 3. Add spices. 4. Add tomato. 5. Add eggs. 6. Cook. 7. Serve. 8. With rice.,25
Egg Drop Soup,non-veg,fever,egg broth spices,120,1. Heat broth. 2. Beat egg. 3. Pour egg. 4. Stir. 5. Season. 6. Simmer. 7. Serve. 8. Hot.,15
Egg Masala,non-veg,fever,egg tomato spices,260,1. Boil eggs. 2. Heat oil. 3. Add spices. 4. Add tomato. 5. Add eggs. 6. Cook. 7. Serve.,25
Fish Curry,non-veg,fever,fish coconut milk spices,280,"1. Clean and cut 500g fish into pieces. 2. Grind coconut, chili, and spices into paste. 3. Heat 2 tablespoons oil. 4. Add mustard seeds and curry leaves. 5. Add ground paste and cook for 5 minutes. 6. Add 1 cup coconut milk and water. 7. Add fish pieces and simmer for 10 minutes with salt to taste only if needed before serving.",30
Fish Fry,non-veg,fever,fish spices,310,"1. Marinate fish with salt, turmeric, and ginger powder for at least half an hour or up to overnight in the refrigerator before cooking it in a pan with oil on medium heat until golden brown on both sides.",20
Fish Masala,non-veg,fever,fish spices,320,1.Clean fish thoroughly and pat dry with kitchen towel or paper towels to remove excess moisture from the surface of the fish pieces before cooking them in a pan with oil on medium heat until golden brown on both sides.,30
Fish Molee,non-veg,fever,fish coconut milk spices,300,1.Cook fish in a pot with water until tender (about ten minutes). Then add coconut milk and simmer for another five minutes until the sauce thickens slightly but remains creamy.,35
