recipe_name,diet,condition,ingredients,calories,steps,time
Fish Soup,non-veg,fever,fish onion pepper,130,"1.Clean fish thoroughly and pat dry with kitchen towel or paper towels to remove excess moisture from the surface of the fish pieces before cooking them in a pot with water until tender (about ten minutes). Then add chopped onions, black pepper powder, salt to taste, and simmer for another five minutes.",25
Fish Tawa,non-veg,fever,fish spices,300,"1.Marinate fish with salt, turmeric, and ginger powder for at least half an hour or up to overnight in the refrigerator before cooking it in a tawa (griddle) on medium heat until golden brown on both sides.",25
Ginger Tea,veg,fever,ginger lemon honey,80,1. Slice ginger. 2. Boil water. 3. Add ginger. 4. Steep. 5. Add lemon. 6. Sweeten. 7. Strain. 8. Serve.,10
Herbal Soup,veg,fever,herbs onion garlic,100,1. Chop veggies. 2. Boil water. 3. Add herbs. 4. Simmer. 5. Strain. 6. Season. 7. Serve. 8. Hot.,20
Jalebi,veg,fever,flour sugar,400,1. Make batter. 2. Ferment. 3. Fry. 4. Soak in syrup. 5. Serve. 6. Crispy. 7. Sweet. 8. Festival.,30
Kozhikode Biryani,non-veg,fever,chicken rice spices,420,1. Marinate chicken. 2. Cook rice. 3. Layer. 4. Dum. 5. Serve. 6. Mild. 7. Malabar. 8. Famous.,50
Lean Mutton Soup,non-veg,fever,mutton carrot pepper,140,1. Boil mutton. 2. Chop carrot. 3. Add to pot. 4. Simmer. 5. Season. 6. Serve. 7. Hot. 8. Hearty.,70
Lemon Rice,veg,fever,rice lemon turmeric,120,1. Cook rice. 2. Heat oil. 3. Add spices. 4. Add lemon. 5. Mix rice. 6. Cook. 7. Serve. 8. Hot.,20
Malai Kofta,veg,fever,paneer cream spices,380,1. Make koftas. 2. Fry. 3. Cook gravy. 4. Serve. 5. Mughlai. 6. Festive. 7. Rich. 8. Balls.,40
Methi Malai Mutter,veg,fever,fenugreek peas cream spices,270,1. Clean methi. 2. Heat oil. 3. Add spices. 4. Add methi. 5. Add peas. 6. Add cream. 7. Cook. 8. Serve.,35
Mint Tea,veg,fever,mint lemon honey,75,1. Boil water. 2. Add mint. 3. Steep. 4. Add lemon. 5. Sweeten. 6. Strain. 7. Serve. 8. Hot.,10
Moong Dal,veg,fever,moong dal spices,180,1. Rinse 1 cup moong dal. 2. Pressure cook with water. 3. Heat 1 tablespoon ghee. 4. Add cumin seeds. 5. Add to dal. 6. Add turmeric. 7. Boil. 8. Serve with rice.,25
Moong Dal Khichdi,veg,fever,moong dal rice spices,220,1. Rinse dal and rice. 2. Cook together. 3. Heat ghee. 4. Add cumin. 5. Add to khichdi. 6. Boil. 7. Serve. 8. With curd.,30
Moong Dal Soup,veg,fever,moong dal spices,160,1. Rinse dal. 2. Cook. 3. Blend. 4. Heat. 5. Add spices. 6. Boil. 7. Serve. 8. Hot.,25
Mutton Curry,non-veg,fever,mutton spices,380,1. Clean mutton. 2. Pressure cook. 3. Heat oil. 4. Add onion. 5. Add spices. 6. Add mutton. 7. Cook. 8. Serve.,55
Mutton Keema,non-veg,fever,mutton spices,360,1. Clean 250g mutton. 2. Heat oil. 3. Add onion. 4. Add mutton. 5. Add spices. 6. Cook for 20 minutes. 7. Serve. 8. With bread.,35
Pepper Rasam,veg,fever,tomato pepper cumin,90,1. Chop tomato. 2. Boil water. 3. Add spices. 4. Simmer. 5. Add tomato. 6. Cook. 7. Season. 8. Serve.,15
Prawn Biryani,non-veg,fever,prawns rice spices,360,1. Clean prawns. 2. Cook rice. 3. Fry onions. 4. Layer. 5. Cook. 6. Serve. 7. With salad. 8. Hot.,50
Prawn Fry,non-veg,fever,prawns spices,280,1. Clean prawns. 2. Marinate. 3. Heat oil. 4. Fry. 5. Cook. 6. Drain. 7. Serve. 8. With rice.,20
Prawn Masala,non-veg,fever,prawns onion spices,290,"1. Clean 250g prawns. 2. Heat 2 tablespoons oil. 3. Add 1 chopped onion and sauté. 4. Add ginger-garlic paste. 5. Add spices like turmeric, chili. 6. Add prawns and cook for 5 minutes. 7. Add coconut milk. 8. Simmer and serve.",20
Rasam,veg,fever,tomato dal spices,150,1. Cook dal. 2. Add tomato. 3. Add spices. 4. Boil. 5. Serve. 6. Hot. 7. Soup-like. 8. Healing.,20
Shrimp Broth,non-veg,fever,shrimp onion garlic,125,1. Boil shrimp. 2. Chop veggies. 3. Add to pot. 4. Simmer. 5. Strain. 6. Season. 7. Serve. 8. Hot.,25
Tomato Rasam,veg,fever,tomato garlic pepper cumin,80,1. Chop 2 tomatoes and 2 garlic cloves. 2. Heat 1 teaspoon oil in a pot. 3. Add cumin seeds and let them splutter. 4. Add garlic and sauté for 1 minute. 5. Add tomatoes and cook until mushy. 6. Add 2 cups water and black pepper. 7. Boil for 10 minutes. 8. Serve hot as soup.,20
Tomato Soup,veg,fever,tomato basil garlic,85,1. Chop tomatoes. 2. Sauté garlic. 3. Add tomatoes. 4. Simmer. 5. Blend. 6. Add basil. 7. Season. 8. Serve.,25
Vegetable Manchurian,veg,fever,vegetables spices,290,1. Chop veggies. 2. Make balls. 3. Fry. 4. Make sauce. 5. Add balls. 6. Cook. 7. Serve. 8. Indo-Chinese.,35
Vegetable Pulao,veg,fever,rice vegetables spices,280,"1. Cook 2 cups rice. 2. Sauté carrots, peas, beans. 3. Add spices. 4. Mix with rice. 5. Cook for 10 minutes. 6. Serve. 7. With curd. 8. Hot.",40
Vegetable Soup,veg,fever,carrot beans onion pepper,90,"1. Wash and peel 2 carrots, chop them into small pieces. 2. Chop 1/2 cup of beans and 1 onion into fine pieces. 3. Heat 1 teaspoon of oil in a pot over medium heat. 4. Add the chopped onion and sauté until translucent. 5. Add the carrots and beans, and cook for 5 minutes. 6. Add 4 cups of water and a pinch of black pepper. 7. Bring the mixture to a boil, then simmer for 15-20 minutes until vegetables are soft. 8. Blend the soup until smooth, season lightly, and serve hot.",30
Almond Milk Porridge,veg,fitness,oats almond milk,150,1. Boil milk. 2. Add oats. 3. Stir. 4. Simmer. 5. Sweeten. 6. Serve. 7. Warm. 8. Nutritious.,15
Aloo Bhujia,veg,fitness,potato spices,230,1. Boil potatoes. 2. Mash. 3. Heat oil. 4. Add spices. 5. Add potatoes. 6. Cook. 7. Serve. 8. With bread.,25
Aloo Matar Curry,veg,fitness,potato peas spices,250,1. Heat oil. 2. Add cumin. 3. Add potatoes. 4. Add peas. 5. Add spices. 6. Cook. 7. Serve. 8. With puri.,35
Boiled Egg Salad,non-veg,fitness,egg lettuce onion olive oil,200,"1. Place 2 eggs in a saucepan and cover with cold water. 2. Bring the water to a boil over high heat. 3. Reduce heat and simmer for 10 minutes. 4. Drain the hot water and cool eggs under cold water. 5. Peel the eggs and chop them into pieces. 6. Wash and chop lettuce and 1 onion. 7. In a bowl, mix the chopped eggs, lettuce, onion, and 1 tablespoon olive oil. 8. Toss gently, season with salt and pepper, and serve fresh.",20
Brown Rice Veg Bowl,veg,fitness,brown rice broccoli carrot beans,190,"1. Rinse 1/2 cup brown rice and cook in 1 cup water for 20-25 minutes. 2. Steam 1 cup broccoli florets, 1 carrot, and 1/2 cup beans. 3. Chop the steamed vegetables into pieces. 4. In a bowl, mix cooked rice and vegetables. 5. Season with salt, pepper, and a dash of olive oil. 6. Toss gently to combine. 7. Let it cool slightly. 8. Serve as a nutritious bowl.",35
Chicken 65,non-veg,fitness,chicken flour spices,260,1. Marinate chicken in spices. 2. Coat with flour. 3. Heat oil for frying. 4. Fry chicken until crisp. 5. Drain on paper. 6. Toss in sauce. 7. Garnish with curry leaves. 8. Serve hot.,25
Chicken Kebab,non-veg,fitness,chicken spices,330,1. Marinate chicken. 2. Skewer. 3. Grill. 4. Cook. 5. Serve. 6. With chutney. 7. Hot. 8. Enjoy.,30
Chicken Keema,non-veg,fitness,chicken mince onion spices,250,1. Sauté onions. 2. Add chicken mince. 3. Cook until done. 4. Add spices. 5. Simmer. 6. Garnish. 7. Serve. 8. With roti.,30
Chicken Skewers,non-veg,fitness,chicken yogurt spices,250,1. Cut chicken. 2. Marinate. 3. Skewer. 4. Grill. 5. Turn. 6. Cook. 7. Serve. 8. Hot.,40
Chicken Stir Fry,non-veg,fitness,chicken capsicum onion garlic,240,"1. Cut 150g chicken into thin strips. 2. Chop 1 capsicum, 1 onion, and 2 garlic cloves. 3. Heat 1 tablespoon oil in a wok over high heat. 4. Add garlic and stir fry for 30 seconds. 5. Add chicken strips and cook until browned. 6. Add onion and capsicum, stir fry for 3-4 minutes. 7. Season with soy sauce and pepper. 8. Serve hot over rice.",20
Chickpea Salad,veg,fitness,chickpeas tomato cucumber,170,1. Drain chickpeas. 2. Chop veggies. 3. Mix. 4. Dress. 5. Toss. 6. Chill. 7. Serve. 8. Fresh.,15
Chilli Paneer,veg,fitness,paneer capsicum spices,320,"1. Cut 200g paneer into pieces. 2. Marinate with soy sauce, chili. 3. Heat oil. 4. Fry paneer. 5. Add capsicum. 6. Add spices. 7. Cook. 8. Serve.",25
Egg Bhurji,non-veg,fitness,egg onion spices,220,1. Chop onions and tomatoes. 2. Heat oil and sauté onions. 3. Add spices and tomatoes. 4. Scramble eggs into mixture. 5. Cook until eggs are set. 6. Stir continuously. 7. Garnish with coriander. 8. Serve with bread.,15
Egg Muffins,non-veg,fitness,egg spinach cheese,210,1. Beat eggs. 2. Chop spinach. 3. Mix. 4. Pour in muffin tin. 5. Bake. 6. Cool. 7. Serve. 8. Warm.,25
Fish Biryani,non-veg,fitness,fish rice spices,370,1. Marinate fish. 2. Cook rice. 3. Fry onions. 4. Layer. 5. Cook. 6. Serve. 7. With raita. 8. Hot.,55
Fish Fillet,non-veg,fitness,fish lemon herbs,230,1. Season fish. 2. Heat pan. 3. Grill. 4. Turn. 5. Cook. 6. Serve. 7. With lemon. 8. Fresh.,20
Fish Fry,non-veg,fitness,fish spices,300,"1. Clean 4 fish pieces. 2. Marinate with chili, turmeric, salt. 3. Heat oil for frying. 4. Coat fish with flour. 5. Fry until golden. 6. Drain oil. 7. Serve. 8. With chutney.",20
Greek Yogurt Salad,veg,fitness,yogurt cucumber mint,140,1. Chop cucumber. 2. Mix yogurt. 3. Add mint. 4. Season. 5. Chill. 6. Serve. 7. Cool. 8. Refreshing.,10
Grilled Chicken,non-veg,fitness,chicken olive oil pepper,250,"1. Clean and pat dry 200g of chicken breast. 2. In a bowl, mix 1 tablespoon olive oil, salt, and black pepper. 3. Marinate the chicken in the mixture for at least 30 minutes. 4. Preheat the grill to medium-high heat. 5. Place the marinated chicken on the grill. 6. Grill for 6-8 minutes per side until cooked through and charred. 7. Let the chicken rest for 5 minutes after grilling. 8. Slice and serve with a side of vegetables.",50
Khakra,veg,fitness,flour spices oil,180,1. Mix 1 cup flour with spices and oil. 2. Knead into dough. 3. Roll into thin circles. 4. Prick with fork. 5. Cook on hot griddle until crisp. 6. Apply oil on both sides. 7. Store in airtight container. 8. Serve as snack.,25
Lamb Chops,non-veg,fitness,lamb spices oil,280,1. Marinate lamb. 2. Preheat grill. 3. Grill. 4. Turn. 5. Cook. 6. Rest. 7. Serve. 8. Hot.,35
Lentil Soup,veg,fitness,lentils spinach garlic,160,1. Rinse lentils. 2. Chop garlic. 3. Boil lentils. 4. Add spinach. 5. Simmer. 6. Blend. 7. Season. 8. Serve.,30
Methi Thepla,veg,fitness,fenugreek flour spices,200,"1. Chop 1 cup fenugreek leaves finely. 2. Mix with 1 cup flour, spices, and water to make dough. 3. Knead well and let rest for 15 minutes. 4. Divide into balls and roll into flatbreads. 5. Heat a griddle and cook each thepla with oil. 6. Cook until golden on both sides. 7. Repeat for all. 8. Serve with yogurt.",45
Mutton Masala,non-veg,fitness,mutton spices,380,1. Clean mutton. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add mutton. 6. Cook. 7. Simmer. 8. Serve.,50
Palak Paneer,veg,fitness,paneer spinach onion garlic,240,"1. Wash and blanch 2 cups spinach leaves. 2. Blend the spinach into a smooth paste. 3. Cube 200g paneer and fry lightly. 4. Chop 1 onion and 2 garlic cloves. 5. Heat 1 tablespoon oil in a pan. 6. Sauté onion and garlic until fragrant. 7. Add spinach paste and cook for 5 minutes. 8. Add fried paneer, season, and serve hot.",25
Paneer Salad,veg,fitness,paneer lettuce tomato olive oil,210,"1. Cube 150g paneer into bite-sized pieces. 2. Wash and chop lettuce and 1 tomato. 3. In a bowl, mix paneer, lettuce, and tomato. 4. Drizzle 1 tablespoon olive oil. 5. Season with salt and pepper. 6. Toss gently to coat. 7. Let it marinate for 10 minutes. 8. Serve fresh.",15
Paneer Tikka,veg,fitness,paneer yogurt spices,320,"1. Cut 200g paneer into cubes. 2. Marinate in yogurt, red chili, garam masala for 30 minutes. 3. Skewer the paneer. 4. Preheat grill to medium. 5. Grill for 10 minutes, turning occasionally. 6. Brush with oil. 7. Cook until charred. 8. Serve with mint chutney.",25
Prawn Skewers,non-veg,fitness,prawn spices,245,1. Marinate prawns. 2. Skewer. 3. Grill. 4. Turn. 5. Cook. 6. Serve. 7. With dip. 8. Enjoy.,25
Quinoa Bowl,veg,fitness,quinoa beans avocado,200,1. Cook quinoa. 2. Drain beans. 3. Slice avocado. 4. Mix. 5. Season. 6. Serve. 7. Fresh. 8. Healthy.,25
Shrimp Stir Fry,non-veg,fitness,shrimp garlic broccoli,220,1. Clean shrimp. 2. Chop garlic. 3. Heat oil. 4. Stir fry shrimp. 5. Add broccoli. 6. Cook. 7. Season. 8. Serve.,15
Soybean Curry,veg,fitness,soybean onion tomato,190,1. Boil soybeans. 2. Chop veggies. 3. Sauté. 4. Add spices. 5. Add beans. 6. Simmer. 7. Serve. 8. Hot.,40
Sprouts Salad,veg,fitness,sprouts tomato onion lemon,130,"1. Rinse 1 cup mixed sprouts thoroughly. 2. Boil the sprouts in water for 5-7 minutes until tender. 3. Drain and cool the sprouts. 4. Chop 1 tomato and 1 onion finely. 5. In a bowl, mix sprouts, tomato, and onion. 6. Squeeze juice from 1 lemon over the mixture. 7. Toss well and season with salt. 8. Let it sit for 10 minutes and serve fresh.",20
Tandoori Chicken,non-veg,fitness,chicken yogurt spices,360,1. Marinate 500g chicken in yogurt and tandoori masala. 2. Add lemon juice and ginger-garlic paste. 3. Marinate for 2 hours. 4. Preheat oven to 200°C. 5. Grill chicken for 20 minutes. 6. Turn and brush with oil. 7. Cook until done. 8. Serve with lemon wedges.,40
Tandoori Fish,non-veg,fitness,fish yogurt spices,330,1. Marinate fish in yogurt masala. 2. Grill. 3. Turn. 4. Cook for 15 minutes. 5. Serve. 6. With lemon. 7. Hot. 8. Enjoy.,30
Tofu Stir Fry,veg,fitness,tofu broccoli soy sauce,180,1. Cube tofu. 2. Chop broccoli. 3. Heat oil. 4. Fry tofu. 5. Add broccoli. 6. Stir. 7. Add sauce. 8. Serve.,20
Turkey Burger,non-veg,fitness,turkey patty lettuce,240,1. Shape patty. 2. Grill. 3. Toast bun. 4. Add lettuce. 5. Assemble. 6. Serve. 7. With sauce. 8. Enjoy.,20
Uttapam,veg,fitness,rice dal vegetables,280,1. Make batter. 2. Add veggies. 3. Cook. 4. Serve. 5. With chutney. 6. Healthy. 7. Breakfast. 8. South Indian.,20
Vegetable Soup,veg,fitness,vegetables spices,180,1. Wash vegetables. 2. Chop. 3. Heat water. 4. Add vegetables. 5. Add spices. 6. Boil. 7. Blend. 8. Serve.,30
Appam,veg,heart attacks,rice coconut,180,1. Soak rice. 2. Grind. 3. Ferment. 4. Cook. 5. Serve. 6. Lacy. 7. Breakfast. 8. Kerala.,25
Baingan Bharta,veg,heart attacks,eggplant spices,240,1. Roast eggplant. 2. Peel. 3. Mash. 4. Heat oil. 5. Add spices. 6. Add eggplant. 7. Cook. 8. Serve.,35
Baingan Ka Bharta,veg,heart attacks,eggplant spices,240,1. Roast eggplant. 2. Peel. 3. Mash. 4. Heat oil. 5. Add onion. 6. Add spices. 7. Add eggplant. 8. Cook.,35
Baked Fish,non-veg,heart attacks,fish lemon herbs,170,1. Season fish. 2. Preheat oven. 3. Bake. 4. Check. 5. Rest. 6. Serve. 7. With herbs. 8. Healthy.,30
Bhindi Fry,veg,heart attacks,okra spices,210,1. Wash bhindi. 2. Heat oil. 3. Add bhindi. 4. Add spices. 5. Cook. 6. Serve. 7. With dal. 8. Hot.,30
Chana Masala,veg,heart attacks,chickpeas tomato spices,250,1. Soak chana. 2. Cook. 3. Heat oil. 4. Add spices. 5. Add chana. 6. Cook. 7. Serve. 8. With puri.,40
Chicken Fry,non-veg,heart attacks,chicken spices,340,1. Marinate chicken. 2. Heat oil. 3. Fry. 4. Cook. 5. Drain. 6. Serve. 7. With salad. 8. Hot.,25
Chili Paneer,veg,heart attacks,paneer capsicum spices,330,1. Cut paneer. 2. Fry. 3. Heat oil. 4. Add spices. 5. Add paneer. 6. Cook. 7. Serve. 8. Spicy.,25
Chole,veg,heart attacks,chickpeas spices,300,1. Soak chana. 2. Cook. 3. Add spices. 4. Simmer. 5. Serve. 6. Punjabi. 7. Street food. 8. Spicy.,40
Dal Makhani,veg,heart attacks,urad dal spices,300,1. Soak 1 cup urad dal. 2. Cook. 3. Heat butter. 4. Add spices. 5. Add dal. 6. Simmer for 20 minutes. 7. Serve. 8. With naan.,60
Egg Roast,non-veg,heart attacks,egg spices,240,1. Boil eggs. 2. Fry with spices. 3. Serve. 4. Simple. 5. Breakfast. 6. Kerala. 7. Quick. 8. Tasty.,20
Fish Tikka,non-veg,heart attacks,fish spices,310,1. Marinate fish. 2. Skewer. 3. Grill. 4. Cook. 5. Serve. 6. With chutney. 7. Hot. 8. Enjoy.,25
Gajar Halwa,veg,heart attacks,carrot milk sugar,300,1. Grate carrot. 2. Cook with milk. 3. Add sugar. 4. Cook. 5. Add nuts. 6. Serve. 7. Warm. 8. Dessert.,45
Gobi Manchurian,veg,heart attacks,cauliflower spices,280,1. Chop cauliflower. 2. Fry. 3. Make sauce. 4. Add cauliflower. 5. Cook. 6. Serve. 7. Indo-Chinese. 8. Crispy.,30
Grilled Chicken Breast,non-veg,heart attacks,chicken breast herbs,185,1. Season chicken. 2. Preheat grill. 3. Grill. 4. Turn. 5. Cook. 6. Rest. 7. Serve. 8. Lean.,30
Heart-Healthy Salad,veg,heart attacks,lettuce tomato cucumber olive oil,90,1. Wash lettuce. 2. Chop veggies. 3. Mix. 4. Dress. 5. Toss. 6. Chill. 7. Serve. 8. Fresh.,10
Hyderabadi Biryani,non-veg,heart attacks,chicken rice spices,450,1. Marinate chicken. 2. Cook rice. 3. Layer. 4. Dum. 5. Serve. 6. Spicy. 7. Nizam. 8. Iconic.,60
Keema,non-veg,heart attacks,minced meat onion spices,340,"1. Heat 2 tablespoons oil. 2. Add 1 chopped onion and sauté. 3. Add 250g minced meat. 4. Add ginger-garlic paste. 5. Add spices like turmeric, chili. 6. Cook for 15 minutes. 7. Add water and simmer. 8. Serve with bread.",40
Khichdi,veg,heart attacks,rice moong dal spices,220,1. Rinse rice and dal. 2. Cook. 3. Heat ghee. 4. Add spices. 5. Add mixture. 6. Simmer. 7. Serve. 8. Comfort.,40
Lamb Biryani,non-veg,heart attacks,lamb rice spices,450,1. Marinate 500g lamb with spices. 2. Cook 2 cups rice. 3. Fry 2 onions. 4. Layer lamb and rice. 5. Add saffron. 6. Cook on low for 40 minutes. 7. Rest. 8. Serve.,70
Lamb Korma,non-veg,heart attacks,lamb yogurt spices,430,1. Marinate lamb. 2. Heat oil. 3. Add spices. 4. Add lamb. 5. Add yogurt. 6. Cook. 7. Simmer. 8. Serve.,55
Lamb Masala,non-veg,heart attacks,lamb spices,420,1. Clean lamb. 2. Heat oil. 3. Add spices. 4. Add lamb. 5. Cook. 6. Simmer. 7. Serve. 8. Spicy.,50
Mathri,veg,heart attacks,flour spices,300,1. Make dough. 2. Shape. 3. Fry. 4. Serve. 5. Flaky. 6. Snack. 7. Punjabi. 8. Diwali.,25
Mixed Dal,veg,heart attacks,dal spices,240,1. Rinse dals. 2. Cook. 3. Heat ghee. 4. Add spices. 5. Add dal. 6. Simmer. 7. Serve. 8. Protein-rich.,35
Moong Dal,veg,heart attacks,moong dal spices,180,1. Rinse dal. 2. Cook. 3. Heat ghee. 4. Add spices. 5. Add dal. 6. Simmer. 7. Serve. 8. Simple.,30
Mushroom Curry,veg,heart attacks,mushrooms coconut spices,260,1. Clean mushrooms. 2. Heat oil. 3. Add spices. 4. Add mushrooms. 5. Cook. 6. Add coconut. 7. Simmer. 8. Serve.,30
Mutton Biryani,non-veg,heart attacks,mutton rice spices,440,1. Marinate mutton. 2. Cook rice. 3. Fry onions. 4. Layer. 5. Cook. 6. Dum. 7. Serve. 8. Hot.,65
Mutton Masala,non-veg,heart attacks,mutton spices,370,1. Clean mutton. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add mutton. 6. Cook. 7. Simmer. 8. Serve.,50
Navratan Korma,veg,heart attacks,vegetables cream spices,340,1. Cook veggies. 2. Add cream. 3. Simmer. 4. Serve. 5. Mughlai. 6. Mixed. 7. Festive. 8. Rich.,45
Pakora,veg,heart attacks,vegetables spices,260,1. Make batter. 2. Dip veggies. 3. Fry. 4. Serve. 5. With chutney. 6. Crispy. 7. Snack. 8. Popular.,20
Paneer Bhurji,veg,heart attacks,paneer spices,230,1. Crumble paneer. 2. Heat oil. 3. Add onion. 4. Add spices. 5. Add paneer. 6. Cook. 7. Serve. 8. With bread.,20
Paneer Jalfrezi,veg,heart attacks,paneer vegetables spices,340,1. Cut paneer. 2. Heat oil. 3. Add spices. 4. Add veggies. 5. Add paneer. 6. Cook. 7. Serve. 8. Stir-fry.,30
Pork Curry,non-veg,heart attacks,pork coconut spices,410,1. Clean pork. 2. Heat oil. 3. Add spices. 4. Add pork. 5. Add coconut. 6. Cook. 7. Simmer. 8. Serve.,50
Prawn Curry,non-veg,heart attacks,prawns coconut spices,310,1. Clean 250g prawns. 2. Grind coconut paste. 3. Heat oil. 4. Add paste. 5. Add prawns. 6. Cook for 10 minutes. 7. Serve. 8. With rice.,30
Rajma Masala,veg,heart attacks,kidney beans spices,290,1. Soak rajma. 2. Cook. 3. Heat oil. 4. Add onion. 5. Add spices. 6. Add rajma. 7. Simmer. 8. Serve.,50
Upma,veg,heart attacks,semolina vegetables,240,1. Roast semolina. 2. Cook veggies. 3. Add semolina. 4. Cook. 5. Serve. 6. Warm. 7. Breakfast. 8. South Indian.,20
Vegetable Biryani,veg,heart attacks,rice vegetables spices,350,"1. Cook 2 cups rice with spices. 2. Sauté mixed vegetables like carrots, peas, beans. 3. Add spices to vegetables. 4. Layer rice and vegetables. 5. Add saffron. 6. Cook on low heat for 20 minutes. 7. Let it rest. 8. Serve with cucumber raita.",50
Whole Grain Porridge,veg,heart attacks,oats fruits nuts,150,1. Boil oats. 2. Chop fruits. 3. Add nuts. 4. Mix. 5. Serve. 6. Warm. 7. Filling. 8. Heart-friendly.,15